name_supermarkt,address,lat,long,key_words,codes,postal_code,url2,urls,place,popularity_percent_normal
Coop Supermarkt Zrich Hnggermarkt,"Regensdorferstrasse 9, Zrich",47.4026805,8.4983802,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ8WTzRqwLkEcRgLJV1RR5rFw,8049,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-hoenggermarkt/1906_POS,https://maps.google.com/?cid=6677845477869073024,_cid=6677845477869073024,54.22222222222222
Migros Supermarkt,"Regensdorferstrasse 20, Zrich",47.4037541,8.4971855,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ92HZaqwLkEcReaQdY-aJ7WQ,8049,https://filialen.migros.ch/de/migros-supermarkt-zuerich-hoengg,https://maps.google.com/?cid=7272620595871589497,_cid=7272620595871589497,56.55555555555556
Alnatura Bio Super Markt,"Kappenbhlweg 5, Zrich",47.4033686,8.4980183,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJR3tEQKwLkEcRkq_X0hE7IEY,8049,https://alnatura.migros.ch/de/filialfinder#alnatura-bio-super-markt-alnatura-bio-super-markt-zuerich-hoengg,https://maps.google.com/?cid=5053103729647529874,_cid=5053103729647529874,52.98484848484848
African Kiwanda,"Ackersteinstrasse 120, Zrich",47.3979465,8.5055184,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ2_57lE0KkEcRP5fNLECGX2c,8049,http://www.african-kiwanda.ch/index.php?option=com_content&view=article&id=2&Itemid=4&lang=de,https://maps.google.com/?cid=7448819918881789759,,
CM Lebensmittel,"Wehntalerstrasse 94, Zrich",47.40234969999999,8.5359508,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJ0a6HnWMKkEcR1zKF184blbM,8057,,https://maps.google.com/?cid=12940279679512031959,,
Eva's Apples,"Weinbergstrasse 168, Zrich",47.3914305,8.539114,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJs6P91XMKkEcRy8xQEpszZZE,8006,http://www.evas-apples.ch/,https://maps.google.com/?cid=10476836849267559627,_cid=10476836849267559627,41.35849056603774
Eurospar,"Schaffhauserstrasse 239, Zrich",47.4032178,8.5469741,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJV2kfW34KkEcRxMBrKw77TPs,8057,https://www.spar.ch/spar-maerkte/spar-bernina-imbimbo/,https://maps.google.com/?cid=18108124240026517700,_cid=18108124240026517700,60.66666666666666
Lian Hua,"Schaffhauserstrasse 269, Zrich",47.4041072,8.547936199999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJT_6uSH4KkEcRoFJGZxuqPNE,8057,http://www.lianhua.ch/de,https://maps.google.com/?cid=15077112687203078816,_cid=15077112687203078816,39.25
Waldgartenmarket gmbH,"Schneichstrasse 7, Zrich",47.4041621,8.5572378,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJHYbnBBahmkcRUWlqfOeyy04,8051,,https://maps.google.com/?cid=5677828462525180241,,
Migros Supermarkt,"Winterthurerstrasse 524, Zrich",47.4039944,8.5729583,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",ChIJNf461GGgmkcRAkbN-OIoL8g,8051,https://filialen.migros.ch/de/migros-supermarkt-zuerich-schwamendingen,https://maps.google.com/?cid=14424793086792910338,_cid=14424793086792910338,58.86111111111112
