,square_id,number of supermarket,sup_per_pop
470,sq13-27,4.0,8.0
471,sq13-28,0.01,0.01
472,sq13-29,0.01,0.01
473,sq13-30,0.01,0.01
474,sq13-31,0.01,0.01
475,sq13-32,0.01,0.01
476,sq13-33,0.01,0.01
477,sq13-34,0.01,0.01
478,sq13-35,3.0,0.04321322700513548
479,sq13-36,0.01,0.01
480,sq13-37,0.01,0.01
481,sq14-1,0.01,0.01
482,sq14-2,0.01,0.01
483,sq14-3,0.01,0.01
484,sq14-4,0.01,0.01
485,sq14-5,0.01,0.01
486,sq14-6,0.01,0.01
487,sq14-7,0.01,0.01
488,sq14-8,0.01,0.01
489,sq14-9,0.01,0.01
490,sq14-10,0.01,0.01
491,sq14-11,0.01,0.01
492,sq14-12,0.01,0.01
493,sq14-13,0.01,0.01
494,sq14-14,1.0,0.021380243572395128
495,sq14-15,3.0,0.027157738095238096
496,sq14-16,0.01,0.01
497,sq14-17,0.01,0.01
498,sq14-18,0.01,0.01
499,sq14-19,0.01,0.01
500,sq14-20,1.0,0.02266576454668471
501,sq14-21,0.01,0.01
502,sq14-22,0.01,0.01
503,sq14-23,1.0,0.011356597150526533
504,sq14-24,1.0,0.011058915639068311
505,sq14-25,0.01,0.01
506,sq14-26,0.01,0.01
507,sq14-27,1.0,0.041237113402061855
508,sq14-28,2.0,0.025081189108168873
509,sq14-29,0.01,0.01
510,sq14-30,0.01,0.01
511,sq14-31,0.01,0.01
512,sq14-32,0.01,0.01
513,sq14-33,0.01,0.01
514,sq14-34,0.01,0.01
515,sq14-35,0.01,0.01
516,sq14-36,0.01,0.01
517,sq14-37,0.01,0.01
518,sq15-1,0.01,0.01
519,sq15-2,0.01,0.01
520,sq15-3,0.01,0.01
521,sq15-4,0.01,0.01
522,sq15-5,0.01,0.01
523,sq15-6,0.01,0.01
524,sq15-7,0.01,0.01
525,sq15-8,0.01,0.01
526,sq15-9,6.0,0.06886687133686854
527,sq15-10,0.01,0.01
528,sq15-11,0.01,0.01
529,sq15-12,0.01,0.01
530,sq15-13,0.01,0.01
531,sq15-14,0.01,0.01
532,sq15-15,0.01,0.01
533,sq15-16,0.01,0.01
534,sq15-17,0.01,0.01
535,sq15-18,0.01,0.01
536,sq15-19,0.01,0.01
537,sq15-20,0.01,0.01
538,sq15-21,0.01,0.01
539,sq15-22,0.01,0.01
540,sq15-23,0.01,0.01
541,sq15-24,0.01,0.01
542,sq15-25,0.01,0.01
543,sq15-26,0.01,0.01
544,sq15-27,5.0,0.0793277705958397
545,sq15-28,1.0,0.008665511265164644
546,sq15-29,0.01,0.01
547,sq15-30,1.0,0.030751851386971257
548,sq15-31,0.01,0.01
549,sq15-32,0.01,0.01
550,sq15-33,0.01,0.01
551,sq15-34,0.01,0.01
552,sq15-35,0.01,0.01
553,sq15-36,0.01,0.01
554,sq15-37,0.01,0.01
